node1	interaction	node2	connections
10312	0	50123	13
56392	0	9568	12
30046	0	36281	5
10239	0	60759	3
33252	0	43840	2
78017	0	85832	2
122419	0	73007	2
17621	0	97704	3
49853	0	79705	4
73780	0	97917	2
392	0	91004	2
15121	0	34096	8
28007	0	6738	2
16089	0	21194	3
115643	0	97194	2
27651	0	32419	2
61666	0	72795	3
60264	0	66304	2
122046	0	23327	5
75008	0	94433	4
62108	0	70787	3
20467	0	20469	7
37080	0	99860	6
30342	0	31725	2
132324	0	6014	2
19209	0	4373	2
12975	0	34154	23
125286	0	129518	2
28276	0	44746	4
56830	0	90879	2
45806	0	78697	25
37329	0	45691	10
25632	0	70621	2
81537	0	97279	3
28366	0	70277	3
82719	0	83651	2
4616	0	61329	2
115990	0	64328	3
10105	0	5787	3
100856	0	14148	5
10323	0	44127	5
27115	0	38564	8
35656	0	94885	2
113958	0	67331	2
57921	0	66925	6
14054	0	14055	2
47884	0	8481	18
102884	0	31718	2
59193	0	64222	2
24811	0	60997	3
1791	0	30305	15
23354	0	62986	14
304	0	32177	14
27665	0	92753	4
12022	0	17064	7
17885	0	3695	3
123356	0	133506	2
18078	0	34042	47
25405	0	5273	3
103096	0	103183	3
12177	0	52668	4
20196	0	41798	2
11128	0	20460	3
118507	0	77019	3
59949	0	71531	5
10874	0	5070	17
3476	0	3578	4
17902	0	8554	72
101583	0	42203	15
10228	0	721	23
12828	0	31653	38
48330	0	61634	2
121455	0	33414	8
108227	0	28742	3
108967	0	111503	2
121193	0	68501	4
122173	0	17079	3
70105	0	70106	4
31777	0	50786	5
37117	0	58290	4
14236	0	22917	3
106679	0	99951	3
15541	0	33870	8
112325	0	96963	6
59343	0	64541	5
51854	0	66258	7
41711	0	65924	12
1628	0	36610	14
104461	0	30963	2
45871	0	5932	23
26745	0	42640	3
117556	0	75241	4
14707	0	90554	2
10869	0	60841	5
103866	0	65441	2
124018	0	47284	4
37309	0	5482	34
32559	0	4842	3
96387	0	98313	6
71576	0	76012	7
1438	0	49016	17
124391	0	46021	6
18103	0	6716	20
10937	0	10999	28
15779	0	78888	5
72574	0	96412	3
11025	0	3142	7
1448	0	43729	8
75897	0	83166	2
24282	0	4647	2
4632	0	5191	12
111134	0	119198	2
30881	0	8407	4
10690	0	10691	4
40673	0	64663	3
66668	0	85316	2
116141	0	123968	2
71218	0	71792	4
125429	0	93770	3
110	0	5258	82
106400	0	78615	2
12283	0	34665	2
28038	0	89979	10
13443	0	16946	4
37511	0	49853	2
31404	0	43589	8
32145	0	33111	3
24461	0	31064	2
3422	0	4388	21
25300	0	33434	9
69305	0	90944	2
27286	0	5666	2
30187	0	70065	5
14452	0	50895	3
95861	0	97460	6
14002	0	62153	3
18192	0	8765	4
44496	0	46688	4
17251	0	8119	7
36220	0	66258	7
34106	0	52166	2
12493	0	27139	24
115638	0	76804	6
21543	0	29040	39
13331	0	4770	51
70547	0	95403	4
46874	0	56436	2
18973	0	53782	3
13129	0	4312	5
4303	0	83162	2
5984	0	7596	8
55949	0	64431	6
20991	0	57941	3
6457	0	7701	15
4430	0	651	4
24943	0	60952	5
12442	0	17269	62
11690	0	12744	8
172	0	6474	39
121009	0	8488	2
52129	0	57256	2
16868	0	27148	8
114770	0	14036	4
18104	0	43659	2
46197	0	90457	2
2336	0	25581	7
13505	0	17006	7
10473	0	18386	3
68670	0	9741	4
19740	0	24639	15
1303	0	21078	6
102659	0	132466	3
14469	0	84630	3
14772	0	15481	8
26355	0	7125	3
46473	0	49161	5
25913	0	69395	7
4925	0	72112	14
17510	0	68247	2
123091	0	97293	2
131	0	15336	10
55614	0	9053	2
101149	0	46570	3
2962	0	3954	4
14342	0	3800	20
12754	0	26150	8
2071	0	42800	16
19668	0	71557	2
41779	0	41780	4
29375	0	61327	12
4114	0	54340	2
17155	0	4534	26
64760	0	68618	2
37938	0	82798	13
1554	0	7990	2
15341	0	20088	30
3994	0	5107	3
53637	0	60910	2
3743	0	63321	2
115628	0	47399	2
35362	0	43242	4
14558	0	23991	3
114741	0	117512	2
23251	0	71712	16
113686	0	49547	3
16175	0	73686	2
18443	0	63456	6
35188	0	53771	3
50964	0	5228	4
56162	0	6579	6
129932	0	130310	3
120922	0	29796	2
24812	0	6127	6
80164	0	94912	3
22849	0	867	25
40652	0	97266	4
12893	0	4485	2
129051	0	66340	3
37894	0	55353	2
13173	0	5270	4
41130	0	77730	3
1162	0	3807	8
2531	0	9484	3
16124	0	83792	4
22799	0	80013	6
121171	0	18677	2
1732	0	413	4
15543	0	1863	5
4615	0	48587	76
38594	0	46559	2
24701	0	8277	4
1095	0	7949	8
60921	0	78727	2
119155	0	83584	2
17027	0	23702	11
692	0	693	112
118662	0	62382	6
25762	0	42266	23
31656	0	869	2
12686	0	30193	19
107788	0	76426	3
100315	0	17520	2
32588	0	68588	15
71923	0	90202	4
115769	0	43687	5
27311	0	34417	4
107452	0	73325	2
17497	0	45127	7
60757	0	63726	4
46638	0	63899	2
42694	0	55477	5
10001	0	10002	50
21442	0	6762	3
128059	0	98494	2
1428	0	16061	3
20148	0	67003	23
55204	0	77064	6
66218	0	85324	2
102936	0	50201	16
116915	0	121652	2
47511	0	92235	3
1706	0	3576	2
28703	0	33763	4
36006	0	59566	77
15180	0	66119	3
25320	0	51847	10
44095	0	49549	3
23536	0	46225	2
1432	0	7547	7
1699	0	216	3
103426	0	80336	3
40230	0	40582	3
14771	0	7808	2
34179	0	58230	4
26747	0	38276	2
60015	0	9803	7
18144	0	25906	2
22495	0	30264	36
24093	0	8539	20
83026	0	92010	5
20192	0	8250	66
34888	0	52496	3
10256	0	18399	27
26515	0	53066	2
35628	0	67574	2
110841	0	5302	2
273	0	45109	2
42706	0	90322	3
64610	0	65728	3
23328	0	25973	18
32702	0	54229	8
54146	0	66725	3
16892	0	68796	4
40776	0	99318	2
3982	0	3983	3
1055	0	2901	36
113562	0	131276	2
91637	0	99690	3
48804	0	78225	3
13639	0	36895	3
37807	0	69043	20
12813	0	86519	3
49647	0	72464	5
113373	0	66936	2
34163	0	44058	2
4512	0	7027	60
14055	0	36350	2
205	0	29909	3
10489	0	16574	3
42784	0	4722	3
53088	0	61707	2
12452	0	60991	8
22285	0	4352	8
5459	0	76810	24
18681	0	4804	2
34998	0	61503	7
129443	0	89543	3
31820	0	8298	4
32372	0	52426	2
29629	0	51865	12
65672	0	7924	6
120931	0	128412	2
30360	0	80310	14
106935	0	55247	2
107093	0	66666	5
44219	0	65516	17
133176	0	52512	3
112564	0	34925	4
27026	0	5793	2
12777	0	45946	2
56361	0	56362	2
45992	0	53614	5
102971	0	86022	2
11225	0	55514	2
14241	0	46754	4
17493	0	35420	3
128501	0	42657	4
6692	0	6693	168
113115	0	59092	2
2177	0	32348	6
108387	0	67398	2
62211	0	79505	3
107557	0	53987	3
1930	0	23561	10
41122	0	69823	5
11025	0	4375	4
15806	0	7940	180
21718	0	62105	25
100107	0	55092	3
41336	0	44916	5
108224	0	109995	2
46152	0	87478	5
106887	0	22215	4
16625	0	60421	2
19037	0	72006	22
41077	0	5052	7
17078	0	49821	42
1979	0	2566	56
126368	0	94079	4
16441	0	33589	4
66748	0	90712	2
18110	0	41684	5
13414	0	35873	168
100119	0	20154	3
39262	0	45927	2
15386	0	51687	2
32315	0	48065	3
122812	0	98943	2
11418	0	71319	5
86379	0	99787	3
125333	0	66765	2
106296	0	87586	2
33149	0	62091	2
132050	0	99478	3
16045	0	7445	36
23353	0	4163	14
